vector_name,hyperparameter_name,hyperparameter_value,metric_name,metric_value
count,clusters,8,homogeneity,0.3157469498066329
count,clusters,8,completeness,0.0820312312185333
count,clusters,8,adjusted_rand,0.0789929343471454
count,clusters,8,calinski_harabasz,81.47121617288322
tfidf,clusters,4,homogeneity,0.3430450953812254
tfidf,clusters,4,completeness,0.1520125730054595
tfidf,clusters,4,adjusted_rand,0.1337956292485252
tfidf,clusters,4,calinski_harabasz,30.20591326019575
tfidf,clusters,8,homogeneity,0.4423712969994318
tfidf,clusters,8,completeness,0.1182720334680738
tfidf,clusters,8,adjusted_rand,0.062821996763917
tfidf,clusters,8,calinski_harabasz,22.396281973008925
count,clusters,4,homogeneity,0.3023312765662972
count,clusters,4,completeness,0.1152598117072813
count,clusters,4,adjusted_rand,0.1058885206729804
count,clusters,4,calinski_harabasz,109.0595367684622
tfidf,clusters,6,homogeneity,0.2917450165954663
tfidf,clusters,6,completeness,0.0906228747962688
tfidf,clusters,6,adjusted_rand,0.0071470418004141
tfidf,clusters,6,calinski_harabasz,24.98572372635333
count,clusters,2,homogeneity,0.0388812879980067
count,clusters,2,completeness,0.029262630781938
count,clusters,2,adjusted_rand,0.0875397505511755
count,clusters,2,calinski_harabasz,127.2805794935949
tfidf,clusters,2,homogeneity,0.1062848393807046
tfidf,clusters,2,completeness,0.0890662256890315
tfidf,clusters,2,adjusted_rand,-0.087769652161635
tfidf,clusters,2,calinski_harabasz,33.11027170843659
count,clusters,6,homogeneity,0.3153471415443847
count,clusters,6,completeness,0.0995361001286158
count,clusters,6,adjusted_rand,0.0974612762729977
count,clusters,6,calinski_harabasz,96.15754153079584
count,clusters,9,homogeneity,0.3077825843379987
count,clusters,9,completeness,0.0748995188360059
count,clusters,9,adjusted_rand,0.0682358711459206
count,clusters,9,calinski_harabasz,74.84545995249003
tfidf,clusters,5,homogeneity,0.3850919488116983
tfidf,clusters,5,completeness,0.1283521015790941
tfidf,clusters,5,adjusted_rand,0.0700234360558362
tfidf,clusters,5,calinski_harabasz,27.381290510635296
count,clusters,10,homogeneity,0.2933969839627272
count,clusters,10,completeness,0.0682360218729004
count,clusters,10,adjusted_rand,0.0697443002447435
count,clusters,10,calinski_harabasz,71.1917181715791
tfidf,clusters,9,homogeneity,0.4242820338453473
tfidf,clusters,9,completeness,0.1177852024604544
tfidf,clusters,9,adjusted_rand,0.0521552529853619
tfidf,clusters,9,calinski_harabasz,20.901288239081325
tfidf,clusters,10,homogeneity,0.4312812451837384
tfidf,clusters,10,completeness,0.1047826137573597
tfidf,clusters,10,adjusted_rand,0.0496218539346698
tfidf,clusters,10,calinski_harabasz,19.68472499012634
count,clusters,5,homogeneity,0.2884205074216453
count,clusters,5,completeness,0.0963571196442854
count,clusters,5,adjusted_rand,0.0891593101035087
count,clusters,5,calinski_harabasz,101.26909894658796
tfidf,clusters,7,homogeneity,0.4516318019601703
tfidf,clusters,7,completeness,0.1266373090411079
tfidf,clusters,7,adjusted_rand,0.0653025645217056
tfidf,clusters,7,calinski_harabasz,23.68686737586136
count,clusters,3,homogeneity,0.2324760109969666
count,clusters,3,completeness,0.1253348748131838
count,clusters,3,adjusted_rand,0.2137190956116168
count,clusters,3,calinski_harabasz,115.54256647673544
tfidf,clusters,3,homogeneity,0.099217184309436
tfidf,clusters,3,completeness,0.0558187002702098
tfidf,clusters,3,adjusted_rand,-0.0425070326025771
tfidf,clusters,3,calinski_harabasz,31.597497442214305
count,clusters,7,homogeneity,0.3004344469852525
count,clusters,7,completeness,0.0894970176206179
count,clusters,7,adjusted_rand,0.0862511612100753
count,clusters,7,calinski_harabasz,87.45455092219385
