model_name,dataset_name,vector_name,hyperparameter_name,hyperparameter_value,metric_name,metric_value
decisiontree,dev,tfidf,maxdepth,10,true_positives,415.0
decisiontree,dev,tfidf,maxdepth,10,false_positives,43.0
decisiontree,dev,tfidf,maxdepth,10,true_negatives,774.0
decisiontree,dev,tfidf,maxdepth,10,false_negatives,161.0
decisiontree,dev,tfidf,maxdepth,10,accuracy,0.8535534816941852
decisiontree,dev,tfidf,maxdepth,10,macro_recall,0.8339272660818713
decisiontree,dev,tfidf,maxdepth,10,macro_precision,0.8669605118744599
decisiontree,dev,tfidf,maxdepth,10,macro_f1,0.8431347871015606
decisiontree,dev,tfidf,maxdepth,10,micro_recall,0.8535534816941852
decisiontree,dev,tfidf,maxdepth,10,micro_precision,0.8535534816941852
decisiontree,dev,tfidf,maxdepth,10,micro_f1,0.8535534816941852
decisiontree,dev,tfidf,maxdepth,10,binary_recall,0.7204861111111112
decisiontree,dev,tfidf,maxdepth,10,binary_precision,0.906113537117904
decisiontree,dev,tfidf,maxdepth,10,binary_f1,0.8027079303675048
decisiontree,dev,tfidf,maxdepth,100,true_positives,466.0
decisiontree,dev,tfidf,maxdepth,100,false_positives,80.0
decisiontree,dev,tfidf,maxdepth,100,true_negatives,737.0
decisiontree,dev,tfidf,maxdepth,100,false_negatives,110.0
decisiontree,dev,tfidf,maxdepth,100,accuracy,0.8636037329504667
decisiontree,dev,tfidf,maxdepth,100,macro_recall,0.8555542805657554
decisiontree,dev,tfidf,maxdepth,100,macro_precision,0.8618048618048617
decisiontree,dev,tfidf,maxdepth,100,macro_f1,0.8582384221170987
decisiontree,dev,tfidf,maxdepth,100,micro_recall,0.8636037329504667
decisiontree,dev,tfidf,maxdepth,100,micro_precision,0.8636037329504667
decisiontree,dev,tfidf,maxdepth,100,micro_f1,0.8636037329504667
decisiontree,dev,tfidf,maxdepth,100,binary_recall,0.8090277777777778
decisiontree,dev,tfidf,maxdepth,100,binary_precision,0.8534798534798534
